pack_item_id,item_title,item_type,source_path,sha256,registered,register_status,claims_served,ship_flag,hold_reason,render_currency,caption_exists,notes
(unlisted) AUD1-0061,,document,Output/diagnostics/ground_cover/prepost_figures/codex_handoff_report.md,cb44719da028ab1b2043231ad41d53ff4df8e1a633b9211ac7dab5856aa32e72,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0062,,document,Output/diagnostics/ground_cover/prepost_response/codex_handoff_report.md,5b74b2ed29a3ce31ce9978e71b94aa9e32871fd242bab9439d77800881481a0b,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0063,,table,Output/diagnostics/ondisk_review_20260720/refugia_area_check.csv,555bd89cbd462ceb5324f809afd3bcc9f1fe7bb8bf7b8289ddaa5af9a38e30f1,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0064,,table,Output/diagnostics/tier2H_g1b_census_veg_wet_response_by_community.csv,51138f33cc9aa64c386f06073c2c732098f0a2fb0c9ab3b3c52128256730db7b,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0065,,table,Output/diagnostics/tier2H_g1b_census_veg_wet_response_by_stratum.csv,5cfd6769ac10ca6416cdeb253f4e272f953a45d2e425df8064034a8c4c0c9765,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0066,,table,Output/diagnostics/tier2H_h2_green_fraction_at_floor.csv,7ee06a2ec9981ee7bd8e93a82a13f955df9661272dbeaae586ca4b156c77126b,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0067,,table,Output/diagnostics/tier2H_h32_census_f6_verdicts.csv,40cb11c4be4fae3ad5ac5b85a8a84c16829748be9f64362a02abba348e04c9a1,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0068,,figure,Output/figures/C1_veg_regime_paddock_Bala_12_data.png,7a781f66d9ad8fda895364bbb27cc494a59b6538549526f1ecfe6fb6e8443f2f,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0069,,figure,Output/figures/C1_veg_regime_paddock_Bala_17_data.png,3d7a43c4b8245337a6353d0f6dcdf872d8217e43f14c6114ef0a7d5e81f09c4f,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0070,,figure,Output/figures/C1_veg_regime_paddock_Bala_19_data.png,7bb6955fdaf16bbd81ec0d3bcb918f6c2613b072ef34605a9825d8b81c515d4e,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0071,,figure,Output/figures/C1_veg_regime_paddock_Bala_20_data.png,327af60ca7c732d80a9ff34dd23ef3d7036d5d6f45f5fa7da032d43a2d61fde2,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0072,,figure,Output/figures/C1_veg_regime_paddock_Bala_21_data.png,cef1edc6f9243317a53adafdbe86697e56b09a520abe8e1ef074fb689de912b7,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0073,,figure,Output/figures/C1_veg_regime_paddock_Bala_23_data.png,e33a9a7af2c1cb01e3825279e31b07b9b65681bbd1a2703729a12005739443c4,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0074,,figure,Output/figures/C1_veg_regime_paddock_Bala_26ca_data.png,e5005c800b7bc0ee48db706f876116d12b69e27d8f4178330d791ba0b48ad58b,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0075,,figure,Output/figures/C1_veg_regime_paddock_Bala_28ca_data.png,fe42c0c3b24bdac8798267f3988a2a8f7633a4dde69988aa7e0737e20a784cfc,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0076,,figure,Output/figures/C1_veg_regime_paddock_Bala_29ca_data.png,b408f8dcb78eb79a752b4a77352ebbf76574c76a4b516ace36314b76018ae4e7,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0077,,figure,Output/figures/C1_veg_regime_paddock_Bala_6_data.png,23cb4ea59bfaef694ae5bfb6f65f4cb1c821b1f512121a25d4459034900dd4ce,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0078,,figure,Output/figures/C1_veg_regime_paddock_Bala_8_11_data.png,4c4e25e295328b786dfabbe165f050c65197bd3d63d5cd4b93417b8e1fde4b77,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0079,,figure,Output/figures/C1_veg_regime_paddock_Dinan_10_data.png,8f917f1f43211519fdaba8b4b12392d6e905847d38a4cb4d76d73894eb6f2d10,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0080,,figure,Output/figures/C1_veg_regime_paddock_Dinan_12_data.png,7b071f1028b56a332b2506d86de48d8487e3935f5ff032693d1b7063547753cc,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0081,,figure,Output/figures/C1_veg_regime_paddock_Dinan_1_data.png,af96ae18b21981e7b134ab77d0ccb9259dff5ff815939b25022c315f12861563,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0082,,figure,Output/figures/C1_veg_regime_paddock_Dinan_3_data.png,2e22666c0b5d3ea499f95746dba335932ca4e0e69fe049904c2f7940c1e43fd0,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0083,,figure,Output/figures/C1_veg_regime_paddock_Dinan_6_data.png,d525dbea86b8b5230197bd58ee9f4a7caa19b56003ef7b563c260bd2f2754d6d,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0084,,figure,Output/figures/C1_veg_regime_paddock_Dinan_8_data.png,2fc969a2bfc2960ce2bc336a9e8dc238497f6fa1caf704f9deace989b071a708,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0085,,figure,Output/figures/C1_veg_regime_paddock_Mara_13_data.png,8654beb7328132606639c59e1ab8a03b841c96e24cd0d9a72220b0be635780e3,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0086,,figure,Output/figures/C1_veg_regime_paddock_Mara_21_data.png,7effd46e68978bd64c843737a5b4c5886c326f0355e4144aa7137810aa61220d,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0087,,figure,Output/figures/C1_veg_regime_paddock_Mara_7_data.png,224a2e92b8beb418136d0b4c1986bc724566568e09e062eea9ac413b165535c3,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0088,,figure,Output/figures/C1_veg_regime_paddock_Mara_8_data.png,41ef9b12bc1885f675c4eacdb044bb31244e0ed8d4b0c07dbc1a9551457a3e94,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0089,,figure,Output/figures/FigA_floor_gradient_density.png,5c058074009d6f51418d03121c9d3291423980ffe804b1f35dd25b5d686bc2db,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0090,,figure,Output/figures/M1_veg_percentile_maps_p05_p50.png,9ecd73cca81d0135464c4a6ecb5b55c40125580577a7325324ccdcf632a81ab2,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,Y,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0091,,figure,Output/figures/M2_all_pixel_method.png,47dc695cef0887dccaac39b559fe87d527db2ad6e33af607a6df5a77ddd076a5,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,Y,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0092,,figure,Output/figures/S12_stratum_coverage.png,8cbc70108d6c65eb9a629bee9daa82abc6da751f4c4c380867f086cfdbafa473,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0093,,figure,Output/figures/S21_flood_trend_census.png,8dd74c27594f3006648801c3dd2fb849a0f9430f16a992cce54e25ff76c3263d,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0094,,figure,Output/figures/S24_response_singles.png,358a6aa78f1352791c1f7d48ece4f7c68d56edb0639e9f85225b1fe250782a5e,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0095,,figure,Output/figures/S25_lag_profile.png,fe41156d12d93c0fb6055fc63d0863263c34f50c127cae62c60f4ba27de71a17,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0096,,figure,Output/figures/S26_response_matrix.png,e6af2db39d823a0502bafbf6f0fd927e542c8b26ef27711183ee13bd9d9618ab,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0102,,figure,Output/figures/T13_D2_part_state_map_sensitivity.png,858b6ee846ad5a6538b311b685810d455178529d56e4db5a7eee3685e04497cc,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,Y,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0103,,figure,Output/figures/dashboards/D1_paddock_Bala_12_slide_data.png,70b4b7985c77e5c276bfbdbeb5e7a56497852d167c7df19c4f586572623961e0,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0104,,figure,Output/figures/dashboards/D1_paddock_Bala_17_slide_data.png,8bc7e83ad97c4ae6913a0918d543aae95071ef8d1d120778b36ea6cdf320a255,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0105,,figure,Output/figures/dashboards/D1_paddock_Bala_19_slide_data.png,edd0b1cfb7ca8d48f7a0e2e3138caaefc865eb8932f5f9ae5c7a03438cf17460,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0106,,figure,Output/figures/dashboards/D1_paddock_Bala_20_slide_data.png,d2ebfa8c858ffd629c23dd637374e04fda7f40e61ae0996b9f066f49ff31610d,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0107,,figure,Output/figures/dashboards/D1_paddock_Bala_21_slide_data.png,4b27aeb6700b9c70e535b9c8fd1041320ec549a6a739e1b955466b333cdb9bd0,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0108,,figure,Output/figures/dashboards/D1_paddock_Bala_23_slide_data.png,d46452f8a079be6cfaab9ec120f4177a63356f0ab7948c5ac5600c49e1d3ea3a,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0109,,figure,Output/figures/dashboards/D1_paddock_Bala_26ca_slide_data.png,c9fc8de60711b7ed11a2d992aab9cb18c8178f72ed04528de85cc6c6d4461022,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0110,,figure,Output/figures/dashboards/D1_paddock_Bala_28ca_slide_data.png,341d2acd265de66ded7247b7382326a710744a4a4238aefa9fdbd12913b08b0e,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0111,,figure,Output/figures/dashboards/D1_paddock_Bala_29ca_slide_data.png,78c2744ca89401f5712acfc3f6916f96cd10630fa989aa17ce6d288ad08a6d73,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0112,,figure,Output/figures/dashboards/D1_paddock_Bala_6_slide_data.png,51370296bcb0c9eed56abcb30b1024fb149a99aef2056c14b2c2f14d7cc2814a,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0113,,figure,Output/figures/dashboards/D1_paddock_Bala_8_11_slide_data.png,283439a841c7e7b77326bcc7d9d08f957485d6d118d3a00cdb669b7d5bd6a854,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0114,,figure,Output/figures/dashboards/D1_paddock_Dinan_10_slide_data.png,0cd99f26a8e58826b7c7aace589d84d1f759af912de89f120d5c62b179f83882,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0115,,figure,Output/figures/dashboards/D1_paddock_Dinan_12_slide_data.png,75ed06e64c576394a01cbce7e1f7a78b00c3de6a813d9b06a90ca1b5845f7085,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0116,,figure,Output/figures/dashboards/D1_paddock_Dinan_1_slide_data.png,7b91daa49fad581246f3b271ea1b100dff0324ab7ddcd82bfea1b441d05fb58d,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0117,,figure,Output/figures/dashboards/D1_paddock_Dinan_3_slide_data.png,b177d6f7dab17271e7498026cf4e287e20412e9835a1c060346abadce70fda2b,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0118,,figure,Output/figures/dashboards/D1_paddock_Dinan_6_slide_data.png,190e78e20348ba1ff80fdc09511d58abc545cf6e2b12ca17112ee294de366865,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0119,,figure,Output/figures/dashboards/D1_paddock_Dinan_8_slide_data.png,fa12aac00dced8e24a8d05b531416eecfaf55adae0e4068520627d08ae3df11f,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0120,,figure,Output/figures/dashboards/D1_paddock_Mara_13_slide_data.png,b3259f927e78011462da2b1a9d8b6605793e80e0906c6d92b579a628c3f5158b,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0121,,figure,Output/figures/dashboards/D1_paddock_Mara_21_slide_data.png,1fe73c0e14cd5b06a156dec90c15e0901cb210cbf726a536e0e0eaef750b0391,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0122,,figure,Output/figures/dashboards/D1_paddock_Mara_7_slide_data.png,18cd17bce1d32c678b315efb3cd80870f9142a97fe69d42a5477f4bf645b4df5,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0123,,figure,Output/figures/dashboards/D1_paddock_Mara_8_slide_data.png,d1fbe8efe212121ae80deeec3fbc39c1da57a4303dea5736a3f7bf350189095c,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0124,,figure,Output/figures/dashboards/D2_site_GA_001_slide_data.png,d9eaf632c4b0f02810384f80f674848632eb33a4e38695193bfb64670502c143,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0125,,figure,Output/figures/dashboards/D2_site_GA_002_slide_data.png,d0973c5619e8af2a52d7e0da9679ab83a03eacc25c5c05bd0861e60746f0bafb,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0126,,figure,Output/figures/dashboards/D2_site_GA_003_slide_data.png,2b2fecd5cf58a787ba447c075bcf2451421fbb959605484c7d4f8cfebdd9e273,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0127,,figure,Output/figures/dashboards/D2_site_GA_004_slide_data.png,4583c94ba26ec4afc21441be55d410c3990d1851dc3a186f2ec977dbf020f75f,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0128,,figure,Output/figures/dashboards/D2_site_GA_005_slide_data.png,e19224982828bcb223797589b32161050abd6232333ef8ea092abb7c31cfe3c2,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0129,,figure,Output/figures/dashboards/D2_site_GA_006_slide_data.png,36bcca0b8d558564e5049ff706dfd24eefd1cc401c45bf94eb0d65c3ebbef2bc,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0130,,figure,Output/figures/dashboards/D2_site_GA_007_slide_data.png,b2448b386124c0f3563744cde55b5d9d2491cc2c64e36114784b860ee0e9aecd,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0131,,figure,Output/figures/dashboards/D2_site_GA_008_slide_data.png,b57e8f8a3cd861ea7e0639a8d5257d7a40aef1e99a563ab244772e8f8f5e3f32,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0132,,figure,Output/figures/dashboards/D2_site_GA_009_slide_data.png,03eb38c3cf25c7c13ee122ae60fd00c1be2d5d08fed5e6cb8716e8117cc9fea6,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0133,,figure,Output/figures/dashboards/D2_site_GA_010_slide_data.png,f98214c0196e32c8c0bf4020c129c1521e45166c3d259e8a982042822a1fba33,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0134,,figure,Output/figures/dashboards/D2_site_GA_013_slide_data.png,5ba7bd5aa0d1535fb91d4b21087c69e15d4bb02003086edb28266b74bc6fc857,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0135,,figure,Output/figures/dashboards/D2_site_GA_016_slide_data.png,476ce27e4a1ddca93af485006146e5ba97808fac1a8ce9ef5ab20b5fad861970,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0136,,figure,Output/figures/dashboards/D2_site_GA_017_slide_data.png,5f3d913caf766fdd59e070a1bb17cf5724e92bb88a96e6a3d15e5abed4a49de9,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0137,,figure,Output/figures/dashboards/D2_site_GA_018_slide_data.png,1e6334c5ba983bbdbb6e19aee38fe0ec460c43e9aece06a1893186a02591a60c,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0138,,figure,Output/figures/dashboards/D2_site_GA_019_slide_data.png,8f6a2f615ff40850eacbe04ac5fcbaba31eb0f9d0fe169e8af53b9a943816359,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0139,,figure,Output/figures/dashboards/D2_site_GA_020_slide_data.png,5fc553d80a3da2cfdd6ad80720cbf2ee0e5f6ffe46fa60f1df929a97fd1ed9ac,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0140,,figure,Output/figures/dashboards/D2_site_GA_022_slide_data.png,ce5759d6f8a02b8bb1dbbdf5a536b823b5efaaabd26bd460763ed1083aa08ded,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0141,,figure,Output/figures/dashboards/D2_site_GA_024_slide_data.png,4ff1c1f91ee10dc7c47daeaf9c010730c68bdb5cfb379dc8b45ab8a82e3f1b7b,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0142,,figure,Output/figures/dashboards/D2_site_GA_025_slide_data.png,7f101f028e11348f7f02c27a9bece93e2c455fb42997e2463bc5f7d132b04ce0,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0143,,figure,Output/figures/dashboards/D2_site_GA_026_slide_data.png,ca4576b375aa07d5be96f53ca10409e6c30abc7c725acd5ef44929173213016e,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0144,,figure,Output/figures/dashboards/D2_site_GA_027_slide_data.png,d6a5cd984dfdda2d949b655419ebd5da05ff7fb30579380296c2258f403da7a5,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0145,,figure,Output/figures/dashboards/D2_site_GA_028_slide_data.png,b7c1f3142a2361e79b993aa07f6a8cbcade23a6b6bcc4064b91ab2f9559da440,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0146,,figure,Output/figures/dashboards/D2_site_GA_031_slide_data.png,d781078f62ae93bd5a219be9cf9d1bf8a6b111106ff6417b0065b991f9350196,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0147,,figure,Output/figures/dashboards/D2_site_GA_032_slide_data.png,0f18c61274de84fd4cb297fbfd04e5d302dce2a8938aecc035904985a90b7957,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0148,,figure,Output/figures/dashboards/D2_site_GA_033_slide_data.png,ee5bb8376d7b7dab11941925f4ac58e0c53c15637054cd411c82ea9e94eb1df6,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0149,,figure,Output/figures/dashboards/D2_site_GA_034_slide_data.png,24ec2c58d9ff5c135116723a1dab60d497849cfb5022288160cb6cf0ffcc25cc,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0150,,figure,Output/figures/dashboards/D2_site_GA_035_slide_data.png,a4426e03666693ab95024bc7edfab1ba5c80625ef4c9d4ea04a1b205554c81e9,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0151,,figure,Output/figures/dashboards/D2_site_GA_036_slide_data.png,a469bef9caba0dc61986a4253fb0010e5a8305bef9d46a930ebb2116d79c10c1,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0152,,figure,Output/figures/dashboards/D2_site_GA_037_slide_data.png,731d9d3c7e0e71fb956812bc164c8a86bee052ded75d90a3f60db35ddc8f6add,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0153,,figure,Output/figures/dashboards/D2_site_GA_038_slide_data.png,d6f5c42a28f9a357240a809a049f90ddda562a114cf6a3a64f8544e8718b5be4,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0154,,figure,Output/figures/dashboards/D2_site_GA_039_slide_data.png,2d9dc5603cab31aa1120401e4fdde48219d07ccc7fe3f4c7986e07c3298609c0,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0155,,figure,Output/figures/dashboards/D2_site_GA_040_slide_data.png,6e88652a30c73eb46b1af026c6c070dd0de12b366c444cd8aa6ec88ce00f45ab,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0156,,figure,Output/figures/dashboards/D2_site_GA_041_slide_data.png,7481c6ca99fd568f008bfc461b4af2ed7dda5c964fe1d10268d13f261b7a409f,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0157,,figure,Output/figures/dashboards/D2_site_GA_042_slide_data.png,ebe14d671ebd5de325c1634d9ca338bd46b4264b551f4c548b1a19dd278a8534,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0158,,figure,Output/figures/dashboards/D2_site_GA_043_slide_data.png,78b145413e023c8eeeac62224537228fabed1fdd37052ce9307e1478627b7ffc,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0159,,figure,Output/figures/dashboards/D2_site_GA_044_slide_data.png,129760845d6671f1f335a1c5aed9f5024c38902736c63c8864a3d1a599fd62a1,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0160,,figure,Output/figures/dashboards/D2_site_GA_045_slide_data.png,7a66f07926180e5db5d1eafea9515209721d02f79f7318f27720ebdbcd21a8af,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
(unlisted) AUD1-0161,,figure,Output/figures/dashboards/D2_site_GA_046_slide_data.png,cf5f62441b6584a2ac42f843e08d7cac69361deeec5ed25b14bc4e57f1f5fdea,1,,,HOLD,"not named by register v3; candidate addition, not selected",CURRENT,N,registered artefact not named by register v2 - candidate addition
