zone_fid,zone_name,treatment,published_share_cells_wet_mean_over_years_pct,veg_p05_spatial_published,veg_p05_temporal_mean,veg_p50_temporal_mean,n_cells,dominant_community,dominant_community_share_pct,difference_temporal_minus_spatial,TABLE_ONLY_NOTE,support_level,unit,period_label,weighting,y_basis
32,Mara 12,14-day grazing,36.0,76.11,66.13302,82.98504,4153,Inland Floodplain Shrublands / Swamps,94.4618348182037,-9.976981506347656,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
36,Mara 6,14-day grazing,36.9,78.98,69.38823,84.50745,10314,Inland Floodplain Shrublands / Swamps,100.0,-9.591770629882816,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
18,Bala 20,14-day grazing,37.5,68.18,65.715294,84.02259,12653,Inland Floodplain Shrublands / Swamps,76.27440132774836,-2.464706115722663,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
26,Bala 14/16,14-day grazing,38.05,78.22,75.89119,86.61525,8775,Inland Floodplain Shrublands / Swamps,97.73219373219374,-2.3288104248046864,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
21,Bala 23,14-day grazing,38.6,69.02,71.39956,86.60612,24369,Inland Floodplain Shrublands / Swamps,81.59136607985556,2.3795590209960977,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
12,Bala 12,14-day grazing,39.61,69.67,73.037186,86.80427,15571,Inland Floodplain Shrublands / Swamps,96.82101342238776,3.367185668945311,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
19,Bala 21,14-day grazing,40.39,75.51,62.55599,83.537735,10258,Inland Floodplain Shrublands / Swamps,100.0,-12.954011688232427,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
49,Mara 5a,14-day grazing,41.16,78.09,69.01555,84.99561,1842,Inland Floodplain Shrublands / Swamps,100.0,-9.074451293945316,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
45,Mara 21,14-day grazing,41.42,69.72,67.49176,85.14955,13640,Inland Floodplain Shrublands / Swamps,75.98973607038123,-2.228239746093749,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
44,Mara 19,14-day grazing,42.07,79.69,70.485306,87.960144,4801,Inland Floodplain Shrublands / Swamps,100.0,-9.204694213867185,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
33,Mara 14,14-day grazing,42.31,76.93,72.44011,86.220665,16075,Inland Floodplain Shrublands / Swamps,100.0,-4.489890747070319,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
41,Mara 16,14-day grazing,42.95,77.14,72.55102,87.24468,10926,Inland Floodplain Shrublands / Swamps,100.0,-4.588982238769532,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
3,Bala 28ca,No grazing,43.34,68.09,70.71847,86.27027,21986,Inland Floodplain Shrublands / Swamps,83.10743200218322,2.6284677124023403,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
34,Mara 5,14-day grazing,44.88,77.09,67.24107,84.487564,5075,Inland Floodplain Shrublands / Swamps,100.0,-9.848926391601566,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
16,Bala 18,14-day grazing,44.98,79.1,72.63201,86.55009,12096,Inland Floodplain Shrublands / Swamps,94.84953703703704,-6.467988586425776,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
1,Bala 26ca,No grazing,45.29,68.77,70.26922,85.684,33035,Inland Floodplain Shrublands / Swamps,98.07476918419857,1.4992184448242227,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
50,Mara 22a,14-day grazing,48.09,76.01,72.36136,87.188324,1595,Inland Floodplain Shrublands / Swamps,100.0,-3.64864135742188,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
20,Bala 22,14-day grazing,58.9,84.06,80.319954,88.737114,5266,Inland Floodplain Shrublands / Swamps,100.0,-3.740046081542971,"veg_p05_spatial and veg_p05_temporal_mean are DIFFERENT METRICS. They appear side by side here so the new figure can be checked against the one already sent, and they are NEVER co-plotted or captioned with the same word. 'Floor' stays reserved for veg_p05_spatial.",pixel,paddock (management zone),1988-2022 (35 water years),unweighted mean over the unit's cells,SEASONAL basis: each cell's percentile is taken over the 140 seasonal composites (4 per water year x 35 water years) with MIN_SEASONS = 50. NOT the annual-basis series the regression uses. Ruling CT.
